index,title,collection,type,file,width,height,orientation,orientation_ok,sha256,bytes,status
1,永遇乐·长夜,微言小谈,background,backgrounds/batch_01/01_永遇乐·长夜.png,1672,941,landscape,True,19bf3903b38db5d4790f9037dd4d70d7b12ca4e3cf44671015c717e407f3d18c,2250664,OK
1,永遇乐·长夜,微言小谈,poster,posters/batch_01/01_永遇乐·长夜.png,307,512,portrait,True,3fdecd9fe71d40a9233c6389e9c8bf2518d548119f0ed2d58f49e90f664766c2,249510,OK
2,春景,微言小谈,background,backgrounds/batch_01/02_春景.png,1672,941,landscape,True,a61fb059d20b3b7affc3344046424297c6cfeed71dfb6032065d311a7bf8f860,2618383,OK
2,春景,微言小谈,poster,posters/batch_01/02_春景.png,307,512,portrait,True,58e0ba31a4ecbd6af1966ebb579b6b3ecc81a8c687712ca92543a75f30612f35,286035,OK
3,地狱变,微言小谈,background,backgrounds/batch_01/03_地狱变.png,1672,941,landscape,True,ff2b80aa615b15f2cb627f0502652d5937d67d6cea1843844a8a684381b437e7,2325936,OK
3,地狱变,微言小谈,poster,posters/batch_01/03_地狱变.png,308,512,portrait,True,24ad386c03b339901877e2a5cfbe12bbd42a6a6340179e81c5daf7264cc6917c,223264,OK
4,潮生灭,微言小谈,background,backgrounds/batch_01/04_潮生灭.png,1672,941,landscape,True,a2ea50004af796b95bd5baae7ef6d863e72048c6237525dd23082663f46bf030,2186973,OK
4,潮生灭,微言小谈,poster,posters/batch_01/04_潮生灭.png,307,512,portrait,True,a29c97c496fcd5b2af59a3c211fe37a90936e45f2426583501d9c25d176caa29,212909,OK
5,梦留,乱章杂句,background,backgrounds/batch_01/05_梦留.png,1672,941,landscape,True,4fc2396f5bf6468fb74d86f4020bdfb219020b456c93f130b3682d27d09800de,2196983,OK
5,梦留,乱章杂句,poster,posters/batch_01/05_梦留.png,307,512,portrait,True,bdd9aa7d31978e4fac99c8bc3f0517f15e89d57fa1f8e4d93c4aaca2bae66927,249957,OK
6,白鸟,乱章杂句,background,backgrounds/batch_01/06_白鸟.png,1672,941,landscape,True,4781fac4b8a50d97de6aa675b98de707526cebba03f6427df9720ce3e1b76cc4,2343995,OK
6,白鸟,乱章杂句,poster,posters/batch_01/06_白鸟.png,307,512,portrait,True,d9e8de0576878ce237f71544a7fef2b30578a6b99ccd5ca28da34375c293cbc6,223031,OK
